ORF	label
YMR260C	Other translation
YNL244C	Other translation
YJR007W	Other translation
YPL237W	Other translation
YER025W	Other translation
YGR054W	Other translation
YKR026C	Other translation
YLR291C	Other translation
YOR260W	Other translation
YGR083C	Other translation
YDR211W	Other translation
YDR117C	Other translation
YPR041W	Other translation
YEL034W	Other translation
YJR047C	Other translation
YAL035W	Other translation
YPR016C	Other translation
YBR079C	Other translation
YOR361C	Other translation
YMR309C	Other translation
YDR429C	Other translation
YMR146C	Other translation
YLR192C	Other translation
YJL138C	Other translation
YKR059W	Other translation
YDR021W	Other translation
YPR163C	Other translation
YOL139C	Other translation
YGR162W	Other translation
YGL049C	Other translation
YOR276W	Other translation
YOL023W	Other translation
YFR009W	Other translation
YMR012W	Other translation
YKL204W	Other translation
YPR080W	Other translation
YBR118W	Other translation
YAL003W	Other translation
YPL048W	Other translation
YKL081W	Other translation
YGR201C	Other translation
YOR133W	Other translation
YDR385W	Other translation
YNL014W	Other translation
YPL226W	Other translation
YLR249W	Other translation
YOR187W	Other translation
YJL102W	Other translation
YLR069C	Other translation
YIL103W	Other translation
YKL191W	Other translation
YBL071W-A	Other translation
YJR097W	Other translation
YLR172C	Other translation
YLR143W	Other translation
YBR246W	Other translation
YGR001C	Other translation
YIL064W	Other translation
YLR285W	Other translation
YJR129C	Other translation
YBR143C	Other translation
YDR172W	Other translation
YOL114C	Other translation
YGL143C	Other translation
YHR038W	Other translation
YDR140W	Other translation
YNR046W	Other translation
YHR189W	Other translation
YBL057C	Other translation
